subject,timing,session,run,trial,target,response,correct,pulse_count,trial_dur,wait_pre_stim
S1,shorter,1,4,10,1,1,True,2,5.12020012925,1.15057186794
S1,shorter,1,4,11,1,1,True,4,10.64375523079,3.1133932795700003
S1,shorter,1,4,12,0,0,True,3,6.15182109088,1.20198824538
S1,shorter,1,4,13,0,0,True,3,9.06766492793,1.9959487575
S1,shorter,1,4,14,1,1,True,1,2.83167133902,1.43115986968
S1,shorter,1,4,15,1,1,True,3,7.790864415880001,3.31942529963
S1,shorter,1,4,16,1,1,True,4,9.77537353957,1.4201681031
S1,shorter,1,4,17,1,1,True,5,11.031671370220002,1.97231137378
S1,shorter,1,4,18,0,0,True,1,5.07390214024,3.07234120201
S1,shorter,1,4,19,1,1,True,5,11.050375063530002,1.5098550517700002
S1,shorter,1,4,20,1,1,True,3,7.814776983180001,1.718052857
S1,shorter,1,4,21,1,0,False,1,5.619836261210001,3.73723663786
S1,shorter,1,4,22,0,0,True,3,6.9815040237399995,1.16152969249
S1,shorter,1,4,23,1,0,False,1,3.76381434892,2.11261866772
S1,shorter,1,4,24,0,0,True,4,8.7954211064,1.2838035759
S1,shorter,1,4,25,0,1,False,3,6.8472714680400015,1.35448640556
S1,shorter,1,4,26,0,0,True,1,4.063342895330001,1.28691608863
S1,shorter,1,4,27,1,1,True,1,3.66401746081,2.02589201219
S1,shorter,1,4,28,1,1,True,5,11.221097363110001,1.03284432881
S1,shorter,1,4,29,0,0,True,1,5.68969907978,2.7185102381700004
S1,shorter,1,4,30,1,1,True,1,4.1501377762,1.84884672163
S1,shorter,1,4,31,1,1,True,4,11.34956506633,2.62429351662
S1,shorter,1,4,32,1,0,False,5,11.80262717382,1.73707429472
S1,shorter,1,4,33,0,0,True,5,11.09946915437,1.16535634835
S1,shorter,1,4,34,0,0,True,1,3.53415177889,1.92341298396
S1,shorter,1,4,35,0,0,True,4,8.87710293505,1.98763741999
S1,shorter,1,5,1,0,0,True,4,9.32003875382,2.4295651941
